param,F1,F2,F3,error,file_name,id,group,label,max_formant,speaker_num,optimized,word,stress,dur,pre_word,fol_word,pre_seg,fol_seg,abs_pre_seg,abs_fol_seg,context
2,-0.04304901373303122,-0.013819898158196738,-0.022839557584011166,0.002002876229462093,utterance_000003,0-0-6-4,group_0,UW,10000.0,1,2,санюк,"",0.0900000000000003,шутланине,хӑвӑрт,Y,K,Y,K,internal
3,-0.04517939904912138,-0.0008634179410922452,-0.011139342742143185,0.002002876229462093,utterance_000003,0-0-6-4,group_0,UW,10000.0,1,2,санюк,"",0.0900000000000003,шутланине,хӑвӑрт,Y,K,Y,K,internal
4,-0.04725855088253203,-0.004876728631983831,-0.008537539665692283,0.002002876229462093,utterance_000003,0-0-6-4,group_0,UW,10000.0,1,2,санюк,"",0.0900000000000003,шутланине,хӑвӑрт,Y,K,Y,K,internal
0,4.700734836088812,5.217212805148569,5.691841263119998,0.00010298729808774959,utterance_000003,0-0-5-4,group_0,AA,6230.7692307692305,1,2,шутланине,"",0.06999999999999984,пӗлме,санюк,l,N,l,N,internal
1,0.006492218245414863,-0.017517643431504238,-0.01124198573961033,0.00010298729808774959,utterance_000003,0-0-5-4,group_0,AA,6230.7692307692305,1,2,шутланине,"",0.06999999999999984,пӗлме,санюк,l,N,l,N,internal
2,-0.0016133539255438261,-0.004204069421291884,0.007620062252764108,0.00010298729808774959,utterance_000003,0-0-5-4,group_0,AA,6230.7692307692305,1,2,шутланине,"",0.06999999999999984,пӗлме,санюк,l,N,l,N,internal
3,-0.0005416227896418162,-0.00272644798590901,-0.0014497365498885508,0.00010298729808774959,utterance_000003,0-0-5-4,group_0,AA,6230.7692307692305,1,2,шутланине,"",0.06999999999999984,пӗлме,санюк,l,N,l,N,internal
4,-0.01106494986158958,-0.0007257761945195148,-0.0023275599760644366,0.00010298729808774959,utterance_000003,0-0-5-4,group_0,AA,6230.7692307692305,1,2,шутланине,"",0.06999999999999984,пӗлме,санюк,l,N,l,N,internal
0,4.79902623102171,5.284374443489293,5.690919481233884,0.0000360607512201431,utterance_000003,0-0-6-1,group_0,AA,6589.74358974359,1,2,санюк,"",0.08000000000000007,шутланине,хӑвӑрт,s,N,s,N,internal
1,0.009457614208062286,-0.014043253025331192,-0.00883768723888342,0.0000360607512201431,utterance_000003,0-0-6-1,group_0,AA,6589.74358974359,1,2,санюк,"",0.08000000000000007,шутланине,хӑвӑрт,s,N,s,N,internal
2,-0.01337638711765483,0.005227525639975618,0.000777421740776751,0.0000360607512201431,utterance_000003,0-0-6-1,group_0,AA,6589.74358974359,1,2,санюк,"",0.08000000000000007,шутланине,хӑвӑрт,s,N,s,N,internal
3,0.0072593149285191385,-0.0008052762458578301,0.0009436397804360417,0.0000360607512201431,utterance_000003,0-0-6-1,group_0,AA,6589.74358974359,1,2,санюк,"",0.08000000000000007,шутланине,хӑвӑрт,s,N,s,N,internal
4,0.0037468456783322475,0.0012168562374469999,-0.002478643852898572,0.0000360607512201431,utterance_000003,0-0-6-1,group_0,AA,6589.74358974359,1,2,санюк,"",0.08000000000000007,шутланине,хӑвӑрт,s,N,s,N,internal
0,4.4645403806339905,4.928182219389372,5.672074928073683,2.057796418716939e-6,utterance_000003,0-0-7-1,group_0,AH,4974.358974358975,1,2,хӑвӑрт,"",0.06000000000000005,санюк,сисрӗ,χ,V,χ,V,internal
1,0.011461402283119452,0.001096534587246533,0.006559075004792045,2.057796418716939e-6,utterance_000003,0-0-7-1,group_0,AH,4974.358974358975,1,2,хӑвӑрт,"",0.06000000000000005,санюк,сисрӗ,χ,V,χ,V,internal
2,0.0059628032969745465,-0.002263165028306614,0.0030252903483086136,2.057796418716939e-6,utterance_000003,0-0-7-1,group_0,AH,4974.358974358975,1,2,хӑвӑрт,"",0.06000000000000005,санюк,сисрӗ,χ,V,χ,V,internal
3,0.006752097821236565,-0.0018936178452823504,0.0017197445435443697,2.057796418716939e-6,utterance_000003,0-0-7-1,group_0,AH,4974.358974358975,1,2,хӑвӑрт,"",0.06000000000000005,санюк,сисрӗ,χ,V,χ,V,internal
4,-0.0002196441853423843,0.00013347549315098877,0.0018226117177465022,2.057796418716939e-6,utterance_000003,0-0-7-1,group_0,AH,4974.358974358975,1,2,хӑвӑрт,"",0.06000000000000005,санюк,сисрӗ,χ,V,χ,V,internal
0,4.443750727957488,4.820611091517377,5.070589521438589,0.000013721199528946892,utterance_000003,0-0-7-3,group_0,AH,3538.4615384615386,1,2,хӑвӑрт,"",0.050000000000000266,санюк,сисрӗ,V,R,V,R,internal
1,-0.016004370246151332,0.016549105449311898,-0.024659913263716287,0.000013721199528946892,utterance_000003,0-0-7-3,group_0,AH,3538.4615384615386,1,2,хӑвӑрт,"",0.050000000000000266,санюк,сисрӗ,V,R,V,R,internal
2,-0.010804608749719731,-0.0029417040109840607,0.0006768769469847122,0.000013721199528946892,utterance_000003,0-0-7-3,group_0,AH,3538.4615384615386,1,2,хӑвӑрт,"",0.050000000000000266,санюк,сисрӗ,V,R,V,R,internal
3,-0.004731910241597567,-0.0021080784259297977,-0.0013883855185914701,0.000013721199528946892,utterance_000003,0-0-7-3,group_0,AH,3538.4615384615386,1,2,хӑвӑрт,"",0.050000000000000266,санюк,сисрӗ,V,R,V,R,internal
4,-0.0027029847094269728,-0.001019920474307047,3.7503883979508845e-6,0.000013721199528946892,utterance_000003,0-0-7-3,group_0,AH,3538.4615384615386,1,2,хӑвӑрт,"",0.050000000000000266,санюк,сисрӗ,V,R,V,R,internal
